question,response
ABROAD,1
ABROAD,2
ABROAD,3
ACAENG_ACAENG_1,1
ACAENG_ACAENG_1,2
ACAENG_ACAENG_1,3
ACAENG_ACAENG_1,4
ACAENG_ACAENG_1,5
ACAENG_ACAENG_1,6
ACAENG_ACAENG_2,1
ACAENG_ACAENG_2,2
ACAENG_ACAENG_2,3
ACAENG_ACAENG_2,4
ACAENG_ACAENG_2,5
ACAENG_ACAENG_2,6
ACAENG_ACAENG_3,1
ACAENG_ACAENG_3,2
ACAENG_ACAENG_3,3
ACAENG_ACAENG_3,4
ACAENG_ACAENG_3,5
ACAENG_ACAENG_3,6
ACT1_ACT1_1,1
ACT1_ACT1_1,2
ACT1_ACT1_10,1
ACT1_ACT1_10,2
ACT1_ACT1_11,1
ACT1_ACT1_11,2
ACT1_ACT1_12,1
ACT1_ACT1_12,2
ACT1_ACT1_13,1
ACT1_ACT1_13,2
ACT1_ACT1_2,1
ACT1_ACT1_2,2
ACT1_ACT1_3,1
ACT1_ACT1_3,2
ACT1_ACT1_4,1
ACT1_ACT1_4,2
ACT1_ACT1_5,1
ACT1_ACT1_5,2
ACT1_ACT1_6,1
ACT1_ACT1_6,2
ACT1_ACT1_7,1
ACT1_ACT1_7,2
ACT1_ACT1_8,1
ACT1_ACT1_8,2
ACT1_ACT1_9,1
ACT1_ACT1_9,2
ACT2_ACT2_1,1
ACT2_ACT2_1,2
ACT2_ACT2_1,3
ACT2_ACT2_1,4
ACT2_ACT2_1,5
ACT2_ACT2_1,6
ACT2_ACT2_10,1
ACT2_ACT2_10,2
ACT2_ACT2_10,3
ACT2_ACT2_10,4
ACT2_ACT2_10,5
ACT2_ACT2_10,6
ACT2_ACT2_2,1
ACT2_ACT2_2,2
ACT2_ACT2_2,3
ACT2_ACT2_2,4
ACT2_ACT2_2,5
ACT2_ACT2_2,6
ACT2_ACT2_3,1
ACT2_ACT2_3,2
ACT2_ACT2_3,3
ACT2_ACT2_3,4
ACT2_ACT2_3,5
ACT2_ACT2_3,6
ACT2_ACT2_4,1
ACT2_ACT2_4,2
ACT2_ACT2_4,3
ACT2_ACT2_4,4
ACT2_ACT2_4,5
ACT2_ACT2_4,6
ACT2_ACT2_5,1
ACT2_ACT2_5,2
ACT2_ACT2_5,3
ACT2_ACT2_5,4
ACT2_ACT2_5,5
ACT2_ACT2_5,6
ACT2_ACT2_6,1
ACT2_ACT2_6,2
ACT2_ACT2_6,3
ACT2_ACT2_6,4
ACT2_ACT2_6,5
ACT2_ACT2_6,6
ACT2_ACT2_7,1
ACT2_ACT2_7,2
ACT2_ACT2_7,3
ACT2_ACT2_7,4
ACT2_ACT2_7,5
ACT2_ACT2_7,6
ACT2_ACT2_8,1
ACT2_ACT2_8,2
ACT2_ACT2_8,3
ACT2_ACT2_8,4
ACT2_ACT2_8,5
ACT2_ACT2_8,6
ACT2_ACT2_9,1
ACT2_ACT2_9,2
ACT2_ACT2_9,3
ACT2_ACT2_9,4
ACT2_ACT2_9,5
ACT2_ACT2_9,6
Act3_1,1
Act3_2,1
Act3_3,1
Act3_4,1
Act3_5,1
Act3_6,1
Act3_7,1
AGE,younger than 17
AGE,17
AGE,18
AGE,19
AGE,20
AGE,21
AGE,22
AGE,23
AGE,24
AGE,25
AGE,26
AGE,27
AGE,28
AGE,29
AGE,30
AGE,31
AGE,32
AGE,33
AGE,34
AGE,35
AGE,36
AGE,37
AGE,38
AGE,39
AGE,40
AGE,older than 40
Att_OPT_1,1
Att_OPT_1,2
Att_OPT_1,3
Att_OPT_1,4
Att_OPT_1,5
Att_OPT_1,6
Att_OPT_2,1
Att_OPT_2,2
Att_OPT_2,3
Att_OPT_2,4
Att_OPT_2,5
Att_OPT_2,6
Att_OPT_3,1
Att_OPT_3,2
Att_OPT_3,3
Att_OPT_3,4
Att_OPT_3,5
Att_OPT_3,6
Att_PERS_1,1
Att_PERS_1,2
Att_PERS_1,3
Att_PERS_1,4
Att_PERS_1,5
Att_PERS_2,1
Att_PERS_2,2
Att_PERS_2,3
Att_PERS_2,4
Att_PERS_2,5
Att_PERS_2,6
Att_PERS_3,1
Att_PERS_3,2
Att_PERS_3,3
Att_PERS_3,4
Att_PERS_3,5
Att_PERS_3,6
Att_SELFEST_1,1
Att_SELFEST_1,2
Att_SELFEST_1,3
Att_SELFEST_1,4
Att_SELFEST_1,5
Att_SELFEST_1,6
